0, 3.0, 1.0, -2.0, -2.0
71, 59.8, 10.799999999999997, -40.2, -17.200000000000003, -13.200000000000003
72, 58.2, 9.200000000000003, -36.8, -18.799999999999997, -11.799999999999997
73, 56.599999999999994, 7.599999999999994, -33.400000000000006, -20.400000000000006, -10.400000000000006
74, 58.0, 6.0, -30.0, -22.0, -12.0
75, 56.400000000000006, 9.400000000000006, -31.599999999999994, -23.599999999999994, -10.599999999999994
76, 54.8, 7.799999999999997, -33.2, -20.200000000000003, -9.200000000000003
77, 53.2, 6.200000000000003, -29.799999999999997, -21.799999999999997, -7.799999999999997
78, 51.599999999999994, 9.599999999999994, -31.400000000000006, -23.400000000000006, -6.400000000000006
79, 50.0, 8.0, -28.0, -25.0, -5.0
80, 53.400000000000006, 6.400000000000006, -29.599999999999994, -23.599999999999994, -6.599999999999994
